Time(s),0.00Hz_dB,86.13Hz_dB,172.27Hz_dB,258.40Hz_dB,344.53Hz_dB,430.66Hz_dB,516.80Hz_dB,602.93Hz_dB,689.06Hz_dB,775.20Hz_dB,861.33Hz_dB,947.46Hz_dB,1033.59Hz_dB,1119.73Hz_dB,1205.86Hz_dB,1291.99Hz_dB,1378.12Hz_dB,1464.26Hz_dB,1550.39Hz_dB,1636.52Hz_dB,1722.66Hz_dB,1808.79Hz_dB,1894.92Hz_dB,1981.05Hz_dB,2067.19Hz_dB,2153.32Hz_dB,2239.45Hz_dB,2325.59Hz_dB,2411.72Hz_dB,2497.85Hz_dB,2583.98Hz_dB,2670.12Hz_dB,2756.25Hz_dB,2842.38Hz_dB,2928.52Hz_dB,3014.65Hz_dB,3100.78Hz_dB,3186.91Hz_dB,3273.05Hz_dB,3359.18Hz_dB,3445.31Hz_dB,3531.45Hz_dB,3617.58Hz_dB,3703.71Hz_dB,3789.84Hz_dB,3875.98Hz_dB,3962.11Hz_dB,4048.24Hz_dB,4134.38Hz_dB,4220.51Hz_dB,4306.64Hz_dB,4392.77Hz_dB,4478.91Hz_dB,4565.04Hz_dB,4651.17Hz_dB,4737.30Hz_dB,4823.44Hz_dB,4909.57Hz_dB,4995.70Hz_dB,5081.84Hz_dB,5167.97Hz_dB,5254.10Hz_dB,5340.23Hz_dB,5426.37Hz_dB,5512.50Hz_dB,5598.63Hz_dB,5684.77Hz_dB,5770.90Hz_dB,5857.03Hz_dB,5943.16Hz_dB,6029.30Hz_dB,6115.43Hz_dB,6201.56Hz_dB,6287.70Hz_dB,6373.83Hz_dB,6459.96Hz_dB,6546.09Hz_dB,6632.23Hz_dB,6718.36Hz_dB,6804.49Hz_dB,6890.62Hz_dB,6976.76Hz_dB,7062.89Hz_dB,7149.02Hz_dB,7235.16Hz_dB,7321.29Hz_dB,7407.42Hz_dB,7493.55Hz_dB,7579.69Hz_dB,7665.82Hz_dB,7751.95Hz_dB,7838.09Hz_dB,7924.22Hz_dB,8010.35Hz_dB,8096.48Hz_dB,8182.62Hz_dB,8268.75Hz_dB,8354.88Hz_dB,8441.02Hz_dB,8527.15Hz_dB,8613.28Hz_dB,8699.41Hz_dB,8785.55Hz_dB,8871.68Hz_dB,8957.81Hz_dB,9043.95Hz_dB,9130.08Hz_dB,9216.21Hz_dB,9302.34Hz_dB,9388.48Hz_dB,9474.61Hz_dB,9560.74Hz_dB,9646.88Hz_dB,9733.01Hz_dB,9819.14Hz_dB,9905.27Hz_dB,9991.41Hz_dB,10077.54Hz_dB,10163.67Hz_dB,10249.80Hz_dB,10335.94Hz_dB,10422.07Hz_dB,10508.20Hz_dB,10594.34Hz_dB,10680.47Hz_dB,10766.60Hz_dB,10852.73Hz_dB,10938.87Hz_dB,11025.00Hz_dB
0.005805,0.000005,0.000043,0.000035,0.000006,0.000086,0.000094,0.000034,0.000044,0.000038,0.000008,0.000008,0.000001,0.000005,0.000015,0.000022,0.000005,0.000015,0.000003,0.000008,0.000032,0.000022,0.000004,0.000013,0.000045,0.000027,0.000009,0.000008,0.000006,0.000019,0.000002,0.000009,0.000007,0.000003,0.000009,0.000016,0.000018,0.000028,0.000064,0.000030,0.000036,0.000032,0.000053,0.000007,0.000014,0.000026,0.000003,0.000020,0.000027,0.000013,0.000008,0.000001,0.000007,0.000025,0.000003,0.000012,0.000007,0.000000,0.000015,0.000005,0.000018,0.000031,0.000003,0.000012,0.000028,0.000016,0.000010,0.000045,0.000055,0.000035,0.000002,0.000017,0.000014,0.000003,0.000004,0.000014,0.000018,0.000010,0.000020,0.000029,0.000043,0.000017,0.000004,0.000006,0.000008,0.000018,0.000008,0.000013,0.000044,0.000045,0.000057,0.000026,0.000012,0.000022,0.000030,0.000012,0.000005,0.000010,0.000001,0.000002,0.000031,0.000039,0.000028,0.000028,0.000022,0.000016,0.000020,0.000027,0.000018,0.000002,0.000012,0.000015,0.000019,0.000016,0.000037,0.000052,0.000021,0.000028,0.000018,0.000006,0.000009,0.000019,0.000018,0.000002,0.000023,0.000008,0.000002,0.000027,0.000022,0.000006
0.055805,5.383817,24.201156,10.081118,39.963776,19.002142,29.595665,40.531031,8.990052,5.816603,7.024504,5.637120,4.950513,6.006802,3.013829,2.708101,1.368277,4.081594,4.831738,9.099335,2.022718,1.374932,1.245693,0.646232,0.665757,1.495382,2.775989,1.395946,0.109891,0.277702,0.811802,0.203093,0.430256,0.755417,0.601058,0.281722,0.251259,0.089095,0.027515,0.013414,0.069292,0.146760,0.070692,0.025815,0.036952,0.021622,0.055368,0.092968,0.013000,0.061030,0.073040,0.037920,0.014741,0.023015,0.016588,0.008017,0.008169,0.003183,0.002732,0.012116,0.007086,0.004654,0.002144,0.017230,0.021117,0.002821,0.004712,0.002063,0.006805,0.008316,0.003319,0.008629,0.009990,0.006131,0.002262,0.003966,0.001050,0.002537,0.001507,0.005155,0.004071,0.002402,0.003284,0.003858,0.002517,0.006571,0.007841,0.008963,0.002946,0.002073,0.000242,0.000467,0.001158,0.002881,0.003156,0.001284,0.000287,0.000192,0.000121,0.000110,0.000122,0.000163,0.000046,0.000024,0.000002,0.000006,0.000012,0.000029,0.000022,0.000013,0.000030,0.000016,0.000005,0.000010,0.000010,0.000008,0.000028,0.000031,0.000035,0.000027,0.000016,0.000014,0.000010,0.000003,0.000021,0.000025,0.000012,0.000020,0.000004,0.000007
0.105805,13.586147,2153.111809,1118.377261,6.811237,50.055788,10.438261,1.782844,12.941838,1.353120,85.189273,207.904126,136.037247,27.741028,15.511629,3.736675,5.661567,9.839327,21.176298,14.896832,2.374691,1.193519,1.760888,1.575164,2.449107,3.406616,0.945357,0.074977,0.264946,0.079999,0.219133,0.024411,0.292918,0.877765,0.979213,0.402501,0.289024,0.143535,0.063794,0.038383,0.035498,0.076970,0.108100,0.146294,0.083267,0.023687,0.063234,0.019793,0.014072,0.017519,0.022383,0.020110,0.041828,0.029617,0.040280,0.046008,0.024732,0.004560,0.000215,0.000698,0.000616,0.000705,0.003023,0.001317,0.001521,0.000319,0.000706,0.001720,0.003897,0.003183,0.010593,0.019885,0.005625,0.001510,0.002369,0.002112,0.005214,0.006378,0.008478,0.003750,0.000422,0.002682,0.006856,0.001706,0.003363,0.001204,0.002472,0.004070,0.002166,0.003969,0.000859,0.000621,0.001041,0.000607,0.001850,0.000194,0.000322,0.000163,0.000142,0.000240,0.000075,0.000215,0.000051,0.000025,0.000005,0.000014,0.000009,0.000003,0.000030,0.000037,0.000007,0.000018,0.000008,0.000025,0.000040,0.000011,0.000004,0.000022,0.000018,0.000019,0.000024,0.000017,0.000014,0.000011,0.000035,0.000012,0.000035,0.000015,0.000026,0.000025
0.155805,284.447747,347.699375,322.427068,119.864407,33.553932,25.586836,200.643819,470.521240,186.029096,34.743254,252.834709,150.474043,12.772546,1.867383,7.559236,17.687048,10.186221,1.553354,0.571114,1.295219,2.303337,1.471563,0.215911,0.172939,1.190655,1.919696,0.204087,2.224790,3.393476,0.784524,0.745187,0.374274,1.026366,1.197647,0.265328,0.185643,0.094946,0.056313,0.101596,0.104721,0.062587,0.037994,0.024410,0.022471,0.029482,0.018369,0.016236,0.028840,0.011267,0.028505,0.010649,0.014384,0.018242,0.027927,0.025725,0.023838,0.007001,0.001978,0.005173,0.004608,0.003172,0.006643,0.007622,0.019876,0.010067,0.004338,0.022936,0.010971,0.008010,0.006941,0.006869,0.008866,0.007014,0.001141,0.003251,0.001058,0.001576,0.002932,0.004416,0.001557,0.004218,0.001734,0.004544,0.005868,0.001874,0.001986,0.008494,0.006423,0.000918,0.001720,0.000307,0.000545,0.000618,0.001378,0.000142,0.000086,0.000059,0.000287,0.000121,0.000129,0.000043,0.000002,0.000002,0.000008,0.000004,0.000026,0.000007,0.000025,0.000009,0.000006,0.000023,0.000063,0.000017,0.000035,0.000074,0.000054,0.000088,0.000036,0.000010,0.000103,0.000078,0.000016,0.000057,0.000058,0.000038,0.000023,0.000006,0.000020,0.000027
0.205805,66.916659,647.951207,447.258280,85.787229,84.186072,56.562911,92.911629,49.786002,33.641005,64.464875,144.666093,65.197791,6.286832,1.584851,0.696097,6.121688,7.928954,5.241430,6.416505,6.285411,4.864428,1.686837,1.907400,0.696835,3.327592,4.758351,2.614090,1.982831,3.945866,1.178032,0.306516,0.575145,0.714822,0.843482,0.645358,0.440059,0.204599,0.213228,0.138699,0.034912,0.052601,0.037281,0.027947,0.071291,0.073774,0.054849,0.045203,0.047404,0.071160,0.037493,0.016882,0.029067,0.041926,0.017009,0.012900,0.005020,0.004487,0.002392,0.002128,0.007189,0.006113,0.001426,0.005067,0.014424,0.015191,0.006305,0.007470,0.005178,0.001145,0.002322,0.002224,0.000215,0.003411,0.008926,0.002249,0.003653,0.002062,0.007426,0.009351,0.001313,0.001366,0.003828,0.002200,0.002500,0.002786,0.001002,0.001549,0.002617,0.001541,0.001844,0.003670,0.001200,0.000422,0.000543,0.000186,0.000353,0.000798,0.000233,0.000053,0.000103,0.000057,0.000025,0.000051,0.000112,0.000137,0.000104,0.000046,0.000008,0.000002,0.000024,0.000012,0.000035,0.000027,0.000017,0.000018,0.000011,0.000009,0.000004,0.000002,0.000006,0.000017,0.000029,0.000033,0.000025,0.000011,0.000026,0.000106,0.000107,0.000020
0.255805,13.503429,91.561074,36.111599,11.473745,64.115524,38.241133,32.823780,61.392793,132.836295,118.412839,289.097970,92.236186,1.337474,1.109912,2.446250,6.284307,7.475245,1.113629,0.520059,2.448966,1.941383,0.665073,1.957809,0.970526,0.222993,0.455907,0.558838,0.034155,0.319690,0.580765,0.578703,0.508299,0.477137,0.320590,0.126800,0.032029,0.233625,0.338008,0.288621,0.143906,0.038228,0.077503,0.035059,0.042604,0.027464,0.014430,0.026438,0.092853,0.049580,0.131622,0.140939,0.020265,0.005782,0.026402,0.048375,0.034965,0.015202,0.012117,0.000592,0.007252,0.013701,0.015841,0.005446,0.000447,0.001966,0.001102,0.003696,0.003818,0.009582,0.007471,0.004549,0.006573,0.003068,0.001625,0.006270,0.009729,0.004801,0.008070,0.002170,0.010587,0.003483,0.000978,0.000806,0.001114,0.001800,0.001440,0.001227,0.003993,0.003070,0.002033,0.001649,0.000764,0.000452,0.000269,0.000391,0.000196,0.000170,0.000276,0.000347,0.000167,0.000009,0.000070,0.000103,0.000039,0.000019,0.000071,0.000071,0.000014,0.000012,0.000010,0.000011,0.000012,0.000040,0.000017,0.000007,0.000026,0.000012,0.000022,0.000071,0.000035,0.000006,0.000021,0.000031,0.000009,0.000003,0.000021,0.000023,0.000009,0.000000
0.305805,3.070603,1266.359708,927.160515,61.270716,14.961513,0.924554,14.266395,52.037661,84.636593,36.470715,142.237727,87.396190,6.963583,3.718604,3.565279,7.887245,7.861506,9.000454,6.370867,0.036799,1.475837,1.223955,1.594288,2.553832,3.127601,1.813568,0.827638,1.182629,0.646653,0.135724,0.155492,0.223713,0.423957,0.319186,0.256282,0.197543,0.390150,0.284480,0.113704,0.080705,0.024181,0.019655,0.032034,0.056384,0.051977,0.041923,0.022963,0.022943,0.021420,0.029020,0.046266,0.030325,0.005421,0.008506,0.005511,0.014514,0.002122,0.008363,0.005448,0.012287,0.007928,0.004650,0.004263,0.002334,0.004837,0.008062,0.012000,0.021368,0.016687,0.005595,0.005412,0.001254,0.001160,0.004515,0.006424,0.009731,0.005835,0.008870,0.007992,0.002053,0.000247,0.000434,0.000886,0.000492,0.004399,0.008219,0.002382,0.004547,0.002325,0.000706,0.000054,0.000214,0.000573,0.000444,0.000246,0.000061,0.000043,0.000056,0.000034,0.000092,0.000084,0.000022,0.000009,0.000011,0.000014,0.000018,0.000023,0.000014,0.000040,0.000030,0.000024,0.000023,0.000005,0.000010,0.000008,0.000009,0.000014,0.000015,0.000014,0.000015,0.000021,0.000011,0.000012,0.000022,0.000019,0.000043,0.000032,0.000009,0.000004
0.355805,43.883539,495.305174,415.012779,42.535951,20.852246,7.919764,1.493801,4.046288,4.372752,69.364321,164.864076,31.977949,16.558582,2.593084,9.723983,4.517841,1.159587,0.545921,0.361893,0.239306,0.816575,1.097295,2.569391,3.687752,2.341195,0.658323,0.373262,0.970956,1.122222,0.455680,0.134008,0.446891,0.408399,0.671124,0.271900,0.179136,0.095725,0.065718,0.015939,0.034747,0.071336,0.045927,0.053046,0.031417,0.012905,0.069930,0.093322,0.098981,0.038444,0.012262,0.030094,0.040496,0.020312,0.003415,0.014053,0.008923,0.011236,0.001413,0.001288,0.002311,0.010652,0.020093,0.010319,0.004303,0.004396,0.003417,0.008618,0.003320,0.004975,0.004929,0.003893,0.006868,0.009068,0.003445,0.001275,0.004803,0.003635,0.002961,0.000428,0.005091,0.006071,0.008997,0.009410,0.004105,0.000644,0.000461,0.001084,0.003151,0.002618,0.001438,0.001646,0.001182,0.000298,0.000396,0.000188,0.000227,0.000134,0.000179,0.000165,0.000063,0.000067,0.000030,0.000042,0.000026,0.000020,0.000011,0.000005,0.000006,0.000011,0.000012,0.000008,0.000010,0.000009,0.000003,0.000005,0.000003,0.000038,0.000048,0.000024,0.000015,0.000013,0.000015,0.000005,0.000021,0.000030,0.000016,0.000012,0.000007,0.000001
0.405805,30.699481,34.998154,2.225621,2.122002,30.877644,24.186002,2.397036,8.060020,5.083456,37.524804,46.362016,11.426972,3.667197,15.679801,9.209314,0.604799,4.245726,3.359539,1.515653,1.118031,1.533913,2.956961,0.300794,4.151157,5.076899,1.260905,1.028837,0.867282,0.517280,0.885770,1.926301,2.221055,0.933633,0.132736,0.103111,0.023342,0.073642,0.020625,0.194853,0.350630,0.356611,0.135833,0.088097,0.060252,0.053879,0.010805,0.038025,0.020480,0.006226,0.019698,0.033004,0.048137,0.043725,0.014475,0.005261,0.008255,0.032274,0.039795,0.009541,0.005779,0.016873,0.009177,0.006522,0.004381,0.017546,0.019208,0.004482,0.005696,0.000803,0.001014,0.001683,0.004080,0.003528,0.013713,0.014720,0.016056,0.004813,0.008518,0.007940,0.002434,0.001169,0.001040,0.003534,0.004535,0.003664,0.003676,0.001427,0.005960,0.006669,0.000613,0.001569,0.000403,0.001735,0.000037,0.000748,0.000057,0.000248,0.000047,0.000412,0.000279,0.000048,0.000064,0.000118,0.000014,0.000026,0.000016,0.000005,0.000012,0.000015,0.000012,0.000003,0.000014,0.000074,0.000119,0.000018,0.000005,0.000010,0.000019,0.000007,0.000024,0.000015,0.000006,0.000005,0.000020,0.000010,0.000021,0.000023,0.000002,0.000006
0.455805,383.653085,748.591788,445.913239,113.290608,41.831280,10.539057,1.542389,29.239243,15.147531,19.863253,42.490150,33.810650,12.818577,7.631025,5.323328,3.286096,11.051761,8.651564,4.294697,1.714550,5.630115,1.413611,0.767497,2.108306,1.220402,0.549403,2.049433,1.165070,0.883569,0.975146,0.608039,0.608504,0.247483,0.096029,0.273030,0.208127,0.149917,0.019044,0.037174,0.073336,0.069446,0.026014,0.125152,0.085670,0.078807,0.073542,0.026091,0.025888,0.004478,0.008311,0.028625,0.018840,0.005428,0.000452,0.008289,0.007279,0.015312,0.016538,0.016971,0.009653,0.003661,0.019255,0.007092,0.006677,0.011261,0.011770,0.018531,0.014344,0.011501,0.014774,0.008568,0.012294,0.001504,0.005601,0.011172,0.011369,0.003975,0.001957,0.001983,0.006338,0.003000,0.001880,0.002220,0.000626,0.002714,0.002422,0.003385,0.002889,0.002042,0.002057,0.000604,0.000623,0.000246,0.000637,0.000179,0.000199,0.000104,0.000128,0.000111,0.000064,0.000050,0.000026,0.000024,0.000052,0.000036,0.000008,0.000026,0.000081,0.000029,0.000020,0.000041,0.000021,0.000006,0.000027,0.000034,0.000005,0.000007,0.000038,0.000021,0.000024,0.000008,0.000003,0.000019,0.000056,0.000046,0.000028,0.000034,0.000071,0.000016
