Time(s),0.00Hz_Power,86.13Hz_Power,172.27Hz_Power,258.40Hz_Power,344.53Hz_Power,430.66Hz_Power,516.80Hz_Power,602.93Hz_Power,689.06Hz_Power,775.20Hz_Power,861.33Hz_Power,947.46Hz_Power,1033.59Hz_Power,1119.73Hz_Power,1205.86Hz_Power,1291.99Hz_Power,1378.12Hz_Power,1464.26Hz_Power,1550.39Hz_Power,1636.52Hz_Power,1722.66Hz_Power,1808.79Hz_Power,1894.92Hz_Power,1981.05Hz_Power,2067.19Hz_Power,2153.32Hz_Power,2239.45Hz_Power,2325.59Hz_Power,2411.72Hz_Power,2497.85Hz_Power,2583.98Hz_Power,2670.12Hz_Power,2756.25Hz_Power,2842.38Hz_Power,2928.52Hz_Power,3014.65Hz_Power,3100.78Hz_Power,3186.91Hz_Power,3273.05Hz_Power,3359.18Hz_Power,3445.31Hz_Power,3531.45Hz_Power,3617.58Hz_Power,3703.71Hz_Power,3789.84Hz_Power,3875.98Hz_Power,3962.11Hz_Power,4048.24Hz_Power,4134.38Hz_Power,4220.51Hz_Power,4306.64Hz_Power,4392.77Hz_Power,4478.91Hz_Power,4565.04Hz_Power,4651.17Hz_Power,4737.30Hz_Power,4823.44Hz_Power,4909.57Hz_Power,4995.70Hz_Power,5081.84Hz_Power,5167.97Hz_Power,5254.10Hz_Power,5340.23Hz_Power,5426.37Hz_Power,5512.50Hz_Power,5598.63Hz_Power,5684.77Hz_Power,5770.90Hz_Power,5857.03Hz_Power,5943.16Hz_Power,6029.30Hz_Power,6115.43Hz_Power,6201.56Hz_Power,6287.70Hz_Power,6373.83Hz_Power,6459.96Hz_Power,6546.09Hz_Power,6632.23Hz_Power,6718.36Hz_Power,6804.49Hz_Power,6890.62Hz_Power,6976.76Hz_Power,7062.89Hz_Power,7149.02Hz_Power,7235.16Hz_Power,7321.29Hz_Power,7407.42Hz_Power,7493.55Hz_Power,7579.69Hz_Power,7665.82Hz_Power,7751.95Hz_Power,7838.09Hz_Power,7924.22Hz_Power,8010.35Hz_Power,8096.48Hz_Power,8182.62Hz_Power,8268.75Hz_Power,8354.88Hz_Power,8441.02Hz_Power,8527.15Hz_Power,8613.28Hz_Power,8699.41Hz_Power,8785.55Hz_Power,8871.68Hz_Power,8957.81Hz_Power,9043.95Hz_Power,9130.08Hz_Power,9216.21Hz_Power,9302.34Hz_Power,9388.48Hz_Power,9474.61Hz_Power,9560.74Hz_Power,9646.88Hz_Power,9733.01Hz_Power,9819.14Hz_Power,9905.27Hz_Power,9991.41Hz_Power,10077.54Hz_Power,10163.67Hz_Power,10249.80Hz_Power,10335.94Hz_Power,10422.07Hz_Power,10508.20Hz_Power,10594.34Hz_Power,10680.47Hz_Power,10766.60Hz_Power,10852.73Hz_Power,10938.87Hz_Power,11025.00Hz_Power
0.005805,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.055805,28.985488,585.695971,101.628950,1597.103382,361.081406,875.903377,1642.764513,80.821031,33.832875,49.343655,31.777119,24.507576,36.081671,9.083167,7.333810,1.872181,16.659408,23.345692,82.797904,4.091388,1.890438,1.551751,0.417616,0.443233,2.236169,7.706116,1.948666,0.012076,0.077119,0.659022,0.041247,0.185120,0.570655,0.361271,0.079368,0.063131,0.007938,0.000757,0.000180,0.004801,0.021538,0.004997,0.000666,0.001365,0.000468,0.003066,0.008643,0.000169,0.003725,0.005335,0.001438,0.000217,0.000530,0.000275,0.000064,0.000067,0.000010,0.000007,0.000147,0.000050,0.000022,0.000005,0.000297,0.000446,0.000008,0.000022,0.000004,0.000046,0.000069,0.000011,0.000074,0.000100,0.000038,0.000005,0.000016,0.000001,0.000006,0.000002,0.000027,0.000017,0.000006,0.000011,0.000015,0.000006,0.000043,0.000061,0.000080,0.000009,0.000004,0.000000,0.000000,0.000001,0.000008,0.000010,0.000002,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.105805,184.583386,4635890.463602,1250767.697063,46.392949,2505.581927,108.957282,3.178534,167.491178,1.830933,7257.212268,43224.125780,18506.132674,769.564634,240.610645,13.962739,32.053346,96.812351,448.435593,221.915592,5.639158,1.424488,3.100725,2.481142,5.998127,11.605035,0.893699,0.005622,0.070196,0.006400,0.048019,0.000596,0.085801,0.770471,0.958858,0.162007,0.083535,0.020602,0.004070,0.001473,0.001260,0.005924,0.011686,0.021402,0.006933,0.000561,0.003998,0.000392,0.000198,0.000307,0.000501,0.000404,0.001750,0.000877,0.001622,0.002117,0.000612,0.000021,0.000000,0.000000,0.000000,0.000000,0.000009,0.000002,0.000002,0.000000,0.000000,0.000003,0.000015,0.000010,0.000112,0.000395,0.000032,0.000002,0.000006,0.000004,0.000027,0.000041,0.000072,0.000014,0.000000,0.000007,0.000047,0.000003,0.000011,0.000001,0.000006,0.000017,0.000005,0.000016,0.000001,0.000000,0.000001,0.000000,0.000003,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.155805,80910.520852,120894.855112,103959.214108,14367.476165,1125.866323,654.686202,40257.942217,221390.237679,34606.824560,1207.093721,63925.390214,22642.437744,163.137930,3.487118,57.142049,312.831667,103.759091,2.412908,0.326171,1.677593,5.305360,2.165498,0.046618,0.029908,1.417660,3.685234,0.041652,4.949691,11.515680,0.615477,0.555304,0.140081,1.053427,1.434359,0.070399,0.034463,0.009015,0.003171,0.010322,0.010967,0.003917,0.001444,0.000596,0.000505,0.000869,0.000337,0.000264,0.000832,0.000127,0.000813,0.000113,0.000207,0.000333,0.000780,0.000662,0.000568,0.000049,0.000004,0.000027,0.000021,0.000010,0.000044,0.000058,0.000395,0.000101,0.000019,0.000526,0.000120,0.000064,0.000048,0.000047,0.000079,0.000049,0.000001,0.000011,0.000001,0.000002,0.000009,0.000020,0.000002,0.000018,0.000003,0.000021,0.000034,0.000004,0.000004,0.000072,0.000041,0.000001,0.000003,0.000000,0.000000,0.000000,0.000002,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.205805,4477.839312,419840.766759,200039.969170,7359.448629,7087.294709,3199.362897,8632.570760,2478.646038,1131.717195,4155.720132,20928.278346,4250.751995,39.524260,2.511752,0.484551,37.475058,62.868308,27.472591,41.171541,39.506387,23.662655,2.845419,3.638174,0.485579,11.072872,22.641902,6.833467,3.931619,15.569859,1.387759,0.093952,0.330791,0.510971,0.711461,0.416487,0.193652,0.041861,0.045466,0.019237,0.001219,0.002767,0.001390,0.000781,0.005082,0.005443,0.003008,0.002043,0.002247,0.005064,0.001406,0.000285,0.000845,0.001758,0.000289,0.000166,0.000025,0.000020,0.000006,0.000005,0.000052,0.000037,0.000002,0.000026,0.000208,0.000231,0.000040,0.000056,0.000027,0.000001,0.000005,0.000005,0.000000,0.000012,0.000080,0.000005,0.000013,0.000004,0.000055,0.000087,0.000002,0.000002,0.000015,0.000005,0.000006,0.000008,0.000001,0.000002,0.000007,0.000002,0.000003,0.000013,0.000001,0.000000,0.000000,0.000000,0.000000,0.000001,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.255805,182.342584,8383.430359,1304.047580,131.646815,4110.800460,1462.384261,1077.400536,3769.075080,17645.481261,14021.600366,83577.636010,8507.514052,1.788837,1.231906,5.984141,39.492521,55.879293,1.240169,0.270462,5.997435,3.768968,0.442321,3.833016,0.941921,0.049726,0.207851,0.312300,0.001167,0.102201,0.337288,0.334897,0.258368,0.227659,0.102778,0.016078,0.001026,0.054581,0.114250,0.083302,0.020709,0.001461,0.006007,0.001229,0.001815,0.000754,0.000208,0.000699,0.008622,0.002458,0.017324,0.019864,0.000411,0.000033,0.000697,0.002340,0.001223,0.000231,0.000147,0.000000,0.000053,0.000188,0.000251,0.000030,0.000000,0.000004,0.000001,0.000014,0.000015,0.000092,0.000056,0.000021,0.000043,0.000009,0.000003,0.000039,0.000095,0.000023,0.000065,0.000005,0.000112,0.000012,0.000001,0.000001,0.000001,0.000003,0.000002,0.000002,0.000016,0.000009,0.000004,0.000003,0.000001,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.305805,9.428603,1603666.911085,859626.620248,3754.100589,223.846882,0.854800,203.530037,2707.918146,7163.352815,1330.113078,20231.571061,7638.093974,48.491491,13.828016,12.711218,62.208628,61.803272,81.008175,40.587941,0.001354,2.178094,1.498065,2.541756,6.522056,9.781891,3.289028,0.684985,1.398612,0.418160,0.018421,0.024178,0.050048,0.179739,0.101880,0.065680,0.039023,0.152217,0.080929,0.012929,0.006513,0.000585,0.000386,0.001026,0.003179,0.002702,0.001758,0.000527,0.000526,0.000459,0.000842,0.002141,0.000920,0.000029,0.000072,0.000030,0.000211,0.000005,0.000070,0.000030,0.000151,0.000063,0.000022,0.000018,0.000005,0.000023,0.000065,0.000144,0.000457,0.000278,0.000031,0.000029,0.000002,0.000001,0.000020,0.000041,0.000095,0.000034,0.000079,0.000064,0.000004,0.000000,0.000000,0.000001,0.000000,0.000019,0.000068,0.000006,0.000021,0.000005,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.355805,1925.765036,245327.215582,172235.606662,1809.307160,434.816179,62.722668,2.231441,16.372447,19.120959,4811.409002,27180.163628,1022.589247,274.186632,6.724085,94.555848,20.410887,1.344641,0.298030,0.130966,0.057268,0.666795,1.204057,6.601770,13.599518,5.481193,0.433389,0.139325,0.942756,1.259382,0.207644,0.017958,0.199711,0.166790,0.450407,0.073929,0.032090,0.009163,0.004319,0.000254,0.001207,0.005089,0.002109,0.002814,0.000987,0.000167,0.004890,0.008709,0.009797,0.001478,0.000150,0.000906,0.001640,0.000413,0.000012,0.000197,0.000080,0.000126,0.000002,0.000002,0.000005,0.000113,0.000404,0.000106,0.000019,0.000019,0.000012,0.000074,0.000011,0.000025,0.000024,0.000015,0.000047,0.000082,0.000012,0.000002,0.000023,0.000013,0.000009,0.000000,0.000026,0.000037,0.000081,0.000089,0.000017,0.000000,0.000000,0.000001,0.000010,0.000007,0.000002,0.000003,0.000001,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.405805,942.458136,1224.870782,4.953389,4.502892,953.428919,584.962699,5.745783,64.963920,25.841523,1408.110916,2149.436519,130.575678,13.448334,245.856161,84.811473,0.365782,18.026193,11.286501,2.297203,1.249992,2.352889,8.743616,0.090477,17.232106,25.774906,1.589881,1.058507,0.752178,0.267579,0.784588,3.710634,4.933087,0.871671,0.017619,0.010632,0.000545,0.005423,0.000425,0.037968,0.122941,0.127171,0.018451,0.007761,0.003630,0.002903,0.000117,0.001446,0.000419,0.000039,0.000388,0.001089,0.002317,0.001912,0.000210,0.000028,0.000068,0.001042,0.001584,0.000091,0.000033,0.000285,0.000084,0.000043,0.000019,0.000308,0.000369,0.000020,0.000032,0.000001,0.000001,0.000003,0.000017,0.000012,0.000188,0.000217,0.000258,0.000023,0.000073,0.000063,0.000006,0.000001,0.000001,0.000012,0.000021,0.000013,0.000014,0.000002,0.000036,0.000044,0.000000,0.000002,0.000000,0.000003,0.000000,0.000001,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.455805,147189.689882,560389.665540,198838.616455,12834.761834,1749.856027,111.071727,2.378965,854.933334,229.447691,394.548836,1805.412807,1143.160030,164.315920,58.232544,28.337816,10.798426,122.141431,74.849567,18.444420,2.939681,31.698190,1.998295,0.589052,4.444953,1.489381,0.301844,4.200176,1.357389,0.780695,0.950910,0.369712,0.370277,0.061248,0.009222,0.074545,0.043317,0.022475,0.000363,0.001382,0.005378,0.004823,0.000677,0.015663,0.007339,0.006211,0.005408,0.000681,0.000670,0.000020,0.000069,0.000819,0.000355,0.000029,0.000000,0.000069,0.000053,0.000234,0.000273,0.000288,0.000093,0.000013,0.000371,0.000050,0.000045,0.000127,0.000139,0.000343,0.000206,0.000132,0.000218,0.000073,0.000151,0.000002,0.000031,0.000125,0.000129,0.000016,0.000004,0.000004,0.000040,0.000009,0.000004,0.000005,0.000000,0.000007,0.000006,0.000011,0.000008,0.000004,0.000004,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
