Wavelength (nm),Intensity,Elapsed Time (s),Integration Time (ms)
175.5309600830078,231.25,0.503,50.0
176.13125610351562,232.0,0.503,50.0
176.7315216064453,223.5,0.503,50.0
177.331787109375,229.0,0.503,50.0
177.93199157714844,224.0,0.503,50.0
178.5321807861328,241.0,0.503,50.0
179.13233947753906,224.5,0.503,50.0
179.73248291015625,222.25,0.503,50.0
180.33258056640625,239.5,0.503,50.0
180.93264770507812,239.0,0.503,50.0
181.53269958496094,218.0,0.503,50.0
182.13272094726562,229.25,0.503,50.0
182.7327117919922,221.0,0.503,50.0
183.33267211914062,233.75,0.503,50.0
183.93260192871094,224.5,0.503,50.0
184.53250122070312,222.0,0.503,50.0
185.1323699951172,226.5,0.503,50.0
185.7322235107422,239.5,0.503,50.0
186.33203125,236.25,0.503,50.0
186.9318389892578,232.25,0.503,50.0
187.53160095214844,237.0,0.503,50.0
188.13131713867188,239.75,0.503,50.0
188.7310333251953,229.75,0.503,50.0
189.33071899414062,240.5,0.503,50.0
189.9303741455078,238.0,0.503,50.0
190.52996826171875,222.5,0.503,50.0
191.1295623779297,240.75,0.503,50.0
191.7291259765625,239.25,0.503,50.0
192.3286590576172,230.25,0.503,50.0
192.9281768798828,230.5,0.503,50.0
193.5276336669922,230.25,0.503,50.0
194.12709045410156,231.25,0.503,50.0
194.72650146484375,232.5,0.503,50.0
195.32589721679688,223.0,0.503,50.0
195.9252471923828,222.75,0.503,50.0
196.52459716796875,231.0,0.503,50.0
197.1239013671875,227.0,0.503,50.0
197.72315979003906,233.75,0.503,50.0
198.32240295410156,234.5,0.503,50.0
198.92161560058594,227.75,0.503,50.0
199.5208282470703,219.5,0.503,50.0
200.11997985839844,228.0,0.503,50.0
200.71910095214844,227.25,0.503,50.0
201.31820678710938,228.25,0.503,50.0
201.9172821044922,234.25,0.503,50.0
202.51632690429688,238.25,0.503,50.0
203.11534118652344,232.0,0.503,50.0
203.7143096923828,236.5,0.503,50.0
204.3132781982422,238.5,0.503,50.0
204.91220092773438,234.5,0.503,50.0
205.5111083984375,244.0,0.503,50.0
206.10997009277344,223.5,0.503,50.0
206.7088165283203,231.75,0.503,50.0
207.3076171875,243.75,0.503,50.0
207.90640258789062,228.75,0.503,50.0
208.50515747070312,242.5,0.503,50.0
209.1038818359375,232.25,0.503,50.0
209.7025909423828,225.25,0.503,50.0
210.30123901367188,236.75,0.503,50.0
210.89987182617188,221.75,0.503,50.0
211.4984893798828,226.25,0.503,50.0
212.09706115722656,247.0,0.503,50.0
212.69561767578125,228.5,0.503,50.0
213.29412841796875,232.25,0.503,50.0
213.8926239013672,226.25,0.503,50.0
214.4910888671875,224.0,0.503,50.0
215.0895233154297,226.5,0.503,50.0
215.6879119873047,219.75,0.503,50.0
216.28631591796875,237.5,0.503,50.0
216.8846435546875,232.0,0.503,50.0
217.4829559326172,241.0,0.503,50.0
218.08123779296875,232.25,0.503,50.0
218.6794891357422,222.25,0.503,50.0
219.27772521972656,229.75,0.503,50.0
219.8759307861328,232.5,0.503,50.0
220.47409057617188,233.0,0.503,50.0
221.07225036621094,226.5,0.503,50.0
221.6703338623047,236.5,0.503,50.0
222.26841735839844,229.25,0.503,50.0
222.86647033691406,236.25,0.503,50.0
223.4644775390625,247.5,0.503,50.0
224.06246948242188,231.25,0.503,50.0
224.66043090820312,239.75,0.503,50.0
225.2583770751953,232.0,0.503,50.0
225.85626220703125,236.5,0.503,50.0
226.4541473388672,236.75,0.503,50.0
227.05198669433594,232.5,0.503,50.0
227.64979553222656,227.25,0.503,50.0
228.24757385253906,230.0,0.503,50.0
228.8453369140625,232.25,0.503,50.0
229.4430694580078,235.25,0.503,50.0
230.04075622558594,229.25,0.503,50.0
230.638427734375,235.0,0.503,50.0
231.23606872558594,228.0,0.503,50.0
231.83367919921875,224.5,0.503,50.0
232.43124389648438,226.0,0.503,50.0
233.02879333496094,243.0,0.503,50.0
233.6262969970703,237.5,0.503,50.0
234.2238006591797,230.5,0.503,50.0
234.82125854492188,237.75,0.503,50.0
235.41867065429688,233.5,0.503,50.0
236.01608276367188,220.0,0.503,50.0
236.61343383789062,235.75,0.503,50.0
237.21078491210938,222.75,0.503,50.0
237.80809020996094,228.25,0.503,50.0
238.4053497314453,228.25,0.503,50.0
239.0026092529297,224.0,0.503,50.0
239.59982299804688,229.75,0.503,50.0
240.197021484375,219.25,0.503,50.0
240.79417419433594,237.0,0.503,50.0
241.3913116455078,239.0,0.503,50.0
241.9884033203125,222.0,0.503,50.0
242.58546447753906,230.75,0.503,50.0
243.1824951171875,229.5,0.503,50.0
243.7794952392578,219.5,0.503,50.0
244.37649536132812,225.5,0.503,50.0
244.9734344482422,242.0,0.503,50.0
245.57037353515625,232.75,0.503,50.0
246.16725158691406,229.75,0.503,50.0
246.76409912109375,238.75,0.503,50.0
247.3609161376953,233.25,0.503,50.0
247.9577178955078,244.0,0.503,50.0
248.55447387695312,227.75,0.503,50.0
249.15122985839844,232.25,0.503,50.0
249.7479248046875,235.75,0.503,50.0
250.34461975097656,240.5,0.503,50.0
250.94125366210938,238.5,0.503,50.0
251.53787231445312,235.25,0.503,50.0
252.1344451904297,235.0,0.503,50.0
252.7310028076172,234.25,0.503,50.0
253.3275146484375,222.75,0.503,50.0
253.92401123046875,238.75,0.503,50.0
254.52049255371094,239.0,0.503,50.0
255.11691284179688,237.5,0.503,50.0
255.7133331298828,238.0,0.503,50.0
256.3096923828125,238.25,0.503,50.0
256.9060363769531,232.25,0.503,50.0
257.5023498535156,235.5,0.503,50.0
258.0986328125,221.25,0.503,50.0
258.69488525390625,224.5,0.503,50.0
259.2911376953125,229.5,0.503,50.0
259.88726806640625,226.0,0.503,50.0
260.48345947265625,228.25,0.503,50.0
261.07958984375,229.0,0.503,50.0
261.6756896972656,232.75,0.503,50.0
262.2717590332031,226.75,0.503,50.0
262.8677978515625,232.0,0.503,50.0
263.4637756347656,233.5,0.503,50.0
264.05975341796875,226.0,0.503,50.0
264.6557312011719,242.25,0.503,50.0
265.2516174316406,225.25,0.503,50.0
265.8475036621094,226.0,0.503,50.0
266.443359375,229.25,0.503,50.0
267.0391845703125,235.0,0.503,50.0
267.6349792480469,234.5,0.503,50.0
268.2307434082031,236.5,0.503,50.0
268.8265075683594,244.0,0.503,50.0
269.4221496582031,221.5,0.503,50.0
270.0178527832031,229.0,0.503,50.0
270.6134948730469,235.25,0.503,50.0
271.2091064453125,232.75,0.503,50.0
271.8046569824219,230.0,0.503,50.0
272.40020751953125,236.75,0.503,50.0
272.9957275390625,229.5,0.503,50.0
273.5912170410156,229.0,0.503,50.0
274.1866455078125,232.25,0.503,50.0
274.78204345703125,225.0,0.503,50.0
275.37750244140625,231.25,0.503,50.0
275.97283935546875,223.75,0.503,50.0
276.56817626953125,231.5,0.503,50.0
277.1634521484375,237.0,0.503,50.0
277.75872802734375,234.5,0.503,50.0
278.35394287109375,238.0,0.503,50.0
278.94915771484375,236.75,0.503,50.0
279.5443420410156,228.75,0.503,50.0
280.1394958496094,233.5,0.503,50.0
280.734619140625,238.25,0.503,50.0
281.3296813964844,231.0,0.503,50.0
281.9247131347656,245.75,0.503,50.0
282.51971435546875,226.75,0.503,50.0
283.11474609375,224.25,0.503,50.0
283.709716796875,226.5,0.503,50.0
284.3045959472656,219.5,0.503,50.0
284.8995056152344,236.75,0.503,50.0
285.494384765625,234.25,0.503,50.0
286.0892028808594,233.5,0.503,50.0
286.68402099609375,226.75,0.503,50.0
287.2787780761719,238.25,0.503,50.0
287.8735046386719,230.25,0.503,50.0
288.4682312011719,236.5,0.503,50.0
289.0628967285156,222.25,0.503,50.0
289.65753173828125,220.25,0.503,50.0
290.25213623046875,223.5,0.503,50.0
290.8467102050781,228.5,0.503,50.0
291.4412536621094,237.25,0.503,50.0
292.0357971191406,214.0,0.503,50.0
292.6302795410156,220.5,0.503,50.0
293.2247314453125,215.25,0.503,50.0
293.81915283203125,233.25,0.503,50.0
294.41357421875,215.0,0.503,50.0
295.0079345703125,230.5,0.503,50.0
295.60223388671875,231.25,0.503,50.0
296.196533203125,232.5,0.503,50.0
296.7908020019531,229.5,0.503,50.0
297.3850402832031,248.5,0.503,50.0
297.979248046875,238.25,0.503,50.0
298.5734558105469,221.0,0.503,50.0
299.16754150390625,222.75,0.503,50.0
299.7616882324219,228.75,0.503,50.0
300.3557434082031,226.75,0.503,50.0
300.9497985839844,226.0,0.503,50.0
301.5437927246094,238.5,0.503,50.0
302.1377868652344,216.75,0.503,50.0
302.7317199707031,231.75,0.503,50.0
303.3256530761719,238.75,0.503,50.0
303.9195861816406,230.0,0.503,50.0
304.51336669921875,225.75,0.503,50.0
305.10723876953125,241.25,0.503,50.0
305.7010192871094,227.75,0.503,50.0
306.2947692871094,229.75,0.503,50.0
306.88848876953125,222.5,0.503,50.0
307.482177734375,243.25,0.503,50.0
308.0758972167969,226.0,0.503,50.0
308.66949462890625,225.75,0.503,50.0
309.2630920410156,222.25,0.503,50.0
309.8566589355469,228.75,0.503,50.0
310.4501953125,240.0,0.503,50.0
311.0437316894531,229.0,0.503,50.0
311.63720703125,227.25,0.503,50.0
312.2306213378906,233.5,0.503,50.0
312.82403564453125,228.25,0.503,50.0
313.41741943359375,228.0,0.503,50.0
314.0107421875,230.0,0.503,50.0
314.60406494140625,231.5,0.503,50.0
315.1973571777344,232.75,0.503,50.0
315.7906188964844,238.0,0.503,50.0
316.3838195800781,224.5,0.503,50.0
316.97698974609375,228.0,0.503,50.0
317.5701904296875,225.75,0.503,50.0
318.16326904296875,227.25,0.503,50.0
318.7563781738281,230.0,0.503,50.0
319.34942626953125,221.75,0.503,50.0
319.94244384765625,225.0,0.503,50.0
320.5354309082031,224.25,0.503,50.0
321.12841796875,237.0,0.503,50.0
321.7213439941406,226.5,0.503,50.0
322.314208984375,235.75,0.503,50.0
322.9071044921875,239.0,0.503,50.0
323.49993896484375,230.0,0.503,50.0
324.0927429199219,230.5,0.503,50.0
324.68548583984375,224.25,0.503,50.0
325.27825927734375,224.25,0.503,50.0
325.8709411621094,211.5,0.503,50.0
326.463623046875,228.5,0.503,50.0
327.0562438964844,230.25,0.503,50.0
327.6488342285156,228.0,0.503,50.0
328.2414245605469,232.0,0.503,50.0
328.8339538574219,229.75,0.503,50.0
329.4264831542969,224.75,0.503,50.0
330.0189514160156,223.0,0.503,50.0
330.61138916015625,221.0,0.503,50.0
331.20379638671875,228.0,0.503,50.0
331.7961730957031,222.75,0.503,50.0
332.3885498046875,230.75,0.503,50.0
332.9808044433594,221.5,0.503,50.0
333.5731506347656,234.5,0.503,50.0
334.16534423828125,229.0,0.503,50.0
334.7575988769531,232.25,0.503,50.0
335.34979248046875,236.25,0.503,50.0
335.94189453125,237.75,0.503,50.0
336.5340270996094,223.25,0.503,50.0
337.1260986328125,227.5,0.503,50.0
337.7181701660156,242.5,0.503,50.0
338.3101501464844,226.5,0.503,50.0
338.90216064453125,231.75,0.503,50.0
339.494140625,226.0,0.503,50.0
340.0860595703125,236.75,0.503,50.0
340.67791748046875,237.25,0.503,50.0
341.2698059082031,222.25,0.503,50.0
341.86163330078125,237.25,0.503,50.0
342.4533996582031,236.0,0.503,50.0
343.0451965332031,227.75,0.503,50.0
343.63690185546875,226.0,0.503,50.0
344.22857666015625,233.0,0.503,50.0
344.82025146484375,232.0,0.503,50.0
345.411865234375,231.0,0.503,50.0
346.0034484863281,227.25,0.503,50.0
346.59503173828125,224.5,0.503,50.0
347.18658447265625,231.0,0.503,50.0
347.7780456542969,206.0,0.503,50.0
348.3695373535156,237.0,0.503,50.0
348.9609069824219,231.0,0.503,50.0
349.5523681640625,227.75,0.503,50.0
350.1437072753906,225.0,0.503,50.0
350.73504638671875,228.5,0.503,50.0
351.3263244628906,229.0,0.503,50.0
351.9175720214844,236.5,0.503,50.0
352.5088195800781,240.25,0.503,50.0
353.1000061035156,242.5,0.503,50.0
353.6911926269531,227.25,0.503,50.0
354.2823486328125,237.5,0.503,50.0
354.8734436035156,234.25,0.503,50.0
355.4644775390625,225.5,0.503,50.0
356.0555114746094,224.25,0.503,50.0
356.64654541015625,238.5,0.503,50.0
357.2374572753906,216.75,0.503,50.0
357.82843017578125,229.0,0.503,50.0
358.4193115234375,230.75,0.503,50.0
359.0101623535156,238.5,0.503,50.0
359.60101318359375,231.25,0.503,50.0
360.1918029785156,227.75,0.503,50.0
360.7825622558594,238.5,0.503,50.0
361.373291015625,225.25,0.503,50.0
361.9640197753906,233.75,0.503,50.0
362.5546569824219,222.0,0.503,50.0
363.14532470703125,220.75,0.503,50.0
363.7359313964844,230.25,0.503,50.0
364.32647705078125,233.0,0.503,50.0
364.9170227050781,222.25,0.503,50.0
365.5075378417969,229.0,0.503,50.0
366.0979919433594,239.25,0.503,50.0
366.68841552734375,238.0,0.503,50.0
367.2788391113281,224.0,0.503,50.0
367.8691711425781,227.0,0.503,50.0
368.45953369140625,225.0,0.503,50.0
369.0498352050781,231.0,0.503,50.0
369.64007568359375,247.0,0.503,50.0
370.2303161621094,230.5,0.503,50.0
370.82049560546875,236.5,0.503,50.0
371.4106750488281,232.5,0.503,50.0
372.00079345703125,235.5,0.503,50.0
372.5909118652344,230.5,0.503,50.0
373.1809387207031,240.75,0.503,50.0
373.77099609375,231.75,0.503,50.0
374.3609924316406,246.75,0.503,50.0
374.9509582519531,237.75,0.503,50.0
375.5408935546875,229.25,0.503,50.0
376.1307678222656,234.25,0.503,50.0
376.7206726074219,240.25,0.503,50.0
377.3104553222656,228.75,0.503,50.0
377.9002685546875,225.25,0.503,50.0
378.4900207519531,216.5,0.503,50.0
379.07977294921875,216.5,0.503,50.0
379.66943359375,218.5,0.503,50.0
380.25909423828125,234.75,0.503,50.0
380.8487548828125,233.5,0.503,50.0
381.4383239746094,230.75,0.503,50.0
382.0278625488281,230.75,0.503,50.0
382.61737060546875,230.75,0.503,50.0
383.2069091796875,233.25,0.503,50.0
